scenario,T,TECH,TYPE,F,value
S0,T0878,ARGO6,BP,municipal waste,16.072488335925346
S0,T0878,KKV7,BP,wood chips,8.46
S0,T0878,KKV8,BP,wood chips,14.010108303249098
S0,T0878,VF5,BP,municipal waste,10.204481546572937
S0,T0878,VF6,BP,municipal waste,20.143502454991815
S0,T0879,AMV1,BP,wood pellets,71.80134967408065
S0,T0879,AMV4,BP,wood chips,149.86407053637032
S0,T0879,ARC,BP,municipal waste,47.008226950354604
S0,T0879,ARGO5,BP,municipal waste,11.05511811023622
S0,T0879,ARGO6,BP,municipal waste,16.072488335925346
S0,T0879,KKV7,BP,wood chips,8.46
S0,T0879,KKV8,BP,wood chips,14.010108303249098
S0,T0879,VF5,BP,municipal waste,10.204481546572937
S0,T0879,VF6,BP,municipal waste,20.143502454991815
S0,T0880,AMV1,BP,wood pellets,72.44532081377153
S0,T0880,AMV4,BP,wood chips,149.86407053637032
S0,T0880,ARC,BP,municipal waste,47.008226950354604
S0,T0880,ARGO5,BP,municipal waste,11.05511811023622
S0,T0880,ARGO6,BP,municipal waste,16.072488335925346
S0,T0880,KKV7,BP,wood chips,8.46
S0,T0880,KKV8,BP,wood chips,14.010108303249098
S0,T0880,VF5,BP,municipal waste,10.204481546572937
S0,T0880,VF6,BP,municipal waste,20.143502454991815
S0,T0881,AVV1,EX,wood pellets,149.90824095255223
S0,T0881,AMV1,BP,wood pellets,72.44532081377153
S0,T0881,AMV4,BP,wood chips,149.86407053637032
S0,T0881,ARC,BP,municipal waste,47.008226950354604
S0,T0881,ARGO5,BP,municipal waste,11.05511811023622
S0,T0881,ARGO6,BP,municipal waste,16.072488335925346
S0,T0881,KKV7,BP,wood chips,8.46
S0,T0881,KKV8,BP,wood chips,14.010108303249098
S0,T0881,VF5,BP,municipal waste,10.204481546572937
S0,T0881,VF6,BP,municipal waste,20.143502454991815
S0,T0882,AVV1,EX,wood pellets,172.64897167255222
S0,T0882,AMV1,BP,wood pellets,72.44532081377153
S0,T0882,AMV4,BP,wood chips,149.86407053637032
S0,T0882,ARC,BP,municipal waste,47.008226950354604
S0,T0882,ARGO5,BP,municipal waste,11.05511811023622
S0,T0882,ARGO6,BP,municipal waste,16.072488335925346
S0,T0882,KKV7,BP,wood chips,8.46
S0,T0882,KKV8,BP,wood chips,14.010108303249098
S0,T0882,VF5,BP,municipal waste,10.204481546572937
S0,T0882,VF6,BP,municipal waste,20.143502454991815
S0,T0883,AVV1,EX,wood pellets,113.37030239255222
S0,T0883,AMV1,BP,wood pellets,72.44532081377153
S0,T0883,AMV4,BP,wood chips,149.86407053637032
S0,T0883,ARC,BP,municipal waste,47.008226950354604
S0,T0883,ARGO5,BP,municipal waste,11.05511811023622
S0,T0883,ARGO6,BP,municipal waste,16.072488335925346
S0,T0883,KKV7,BP,wood chips,8.46
S0,T0883,KKV8,BP,wood chips,14.010108303249098
S0,T0883,VF5,BP,municipal waste,10.204481546572937
S0,T0883,VF6,BP,municipal waste,20.143502454991815
S0,T0884,AVV1,EX,wood pellets,95.04003311255222
S0,T0884,AMV1,BP,wood pellets,72.44532081377153
S0,T0884,AMV4,BP,wood chips,149.86407053637032
S0,T0884,ARC,BP,municipal waste,47.008226950354604
S0,T0884,ARGO5,BP,municipal waste,11.05511811023622
S0,T0884,ARGO6,BP,municipal waste,16.072488335925346
S0,T0884,KKV7,BP,wood chips,8.46
S0,T0884,KKV8,BP,wood chips,14.010108303249098
S0,T0884,VF5,BP,municipal waste,10.204481546572937
S0,T0884,VF6,BP,municipal waste,20.143502454991815
S0,T0885,AVV1,EX,wood pellets,142.11843311255222
S0,T0885,AMV1,BP,wood pellets,72.44532081377153
S0,T0885,AMV4,BP,wood chips,149.86407053637032
S0,T0885,ARC,BP,municipal waste,47.008226950354604
S0,T0885,ARGO5,BP,municipal waste,11.05511811023622
S0,T0885,ARGO6,BP,municipal waste,16.072488335925346
S0,T0885,KKV7,BP,wood chips,8.46
S0,T0885,KKV8,BP,wood chips,14.010108303249098
S0,T0885,VF5,BP,municipal waste,10.204481546572937
S0,T0885,VF6,BP,municipal waste,20.143502454991815
S0,T0886,AVV1,EX,wood pellets,44.73421263255223
S0,T0886,AMV1,BP,wood pellets,72.44532081377153
S0,T0886,AMV4,BP,wood chips,149.86407053637032
S0,T0886,ARC,BP,municipal waste,47.008226950354604
S0,T0886,ARGO5,BP,municipal waste,11.05511811023622
S0,T0886,ARGO6,BP,municipal waste,16.072488335925346
S0,T0886,KKV7,BP,wood chips,8.46
S0,T0886,KKV8,BP,wood chips,14.010108303249098
S0,T0886,VF5,BP,municipal waste,10.204481546572937
S0,T0886,VF6,BP,municipal waste,20.143502454991815
S0,T0887,AVV1,EX,wood pellets,25.751122872552223
S0,T0887,AMV1,BP,wood pellets,72.44532081377153
S0,T0887,AMV4,BP,wood chips,149.86407053637032
S0,T0887,ARC,BP,municipal waste,47.008226950354604
S0,T0887,ARGO5,BP,municipal waste,11.05511811023622
S0,T0887,ARGO6,BP,municipal waste,16.072488335925346
S0,T0887,KKV7,BP,wood chips,8.46
S0,T0887,KKV8,BP,wood chips,14.010108303249098
S0,T0887,VF5,BP,municipal waste,10.204481546572937
S0,T0887,VF6,BP,municipal waste,20.143502454991815
S0,T0888,AVV1,EX,wood pellets,7.994033112552227
S0,T0888,AMV1,BP,wood pellets,72.44532081377153
S0,T0888,AMV4,BP,wood chips,149.86407053637032
S0,T0888,ARC,BP,municipal waste,47.008226950354604
S0,T0888,ARGO5,BP,municipal waste,11.05511811023622
S0,T0888,ARGO6,BP,municipal waste,16.072488335925346
S0,T0888,KKV7,BP,wood chips,8.46
S0,T0888,KKV8,BP,wood chips,14.010108303249098
S0,T0888,VF5,BP,municipal waste,10.204481546572937
S0,T0888,VF6,BP,municipal waste,20.143502454991815
S0,T0889,AVV1,EX,wood pellets,6.174943352552226
S0,T0889,AMV1,BP,wood pellets,72.44532081377153
S0,T0889,AMV4,BP,wood chips,149.86407053637032
S0,T0889,ARC,BP,municipal waste,47.008226950354604
S0,T0889,ARGO5,BP,municipal waste,11.05511811023622
S0,T0889,ARGO6,BP,municipal waste,16.072488335925346
S0,T0889,KKV7,BP,wood chips,8.46
S0,T0889,KKV8,BP,wood chips,14.010108303249098
S0,T0889,VF5,BP,municipal waste,10.204481546572937
S0,T0889,VF6,BP,municipal waste,20.143502454991815
S0,T0890,AMV1,BP,wood pellets,72.44532081377153
S0,T0890,AMV4,BP,wood chips,149.86407053637032
S0,T0890,ARC,BP,municipal waste,47.008226950354604
S0,T0890,ARGO5,BP,municipal waste,11.05511811023622
S0,T0890,ARGO6,BP,municipal waste,16.072488335925346
S0,T0890,KKV7,BP,wood chips,8.46
S0,T0890,KKV8,BP,wood chips,14.010108303249098
S0,T0890,VF5,BP,municipal waste,10.204481546572937
S0,T0890,VF6,BP,municipal waste,20.143502454991815
S0,T0891,AMV1,BP,wood pellets,72.44532081377153
S0,T0891,AMV4,BP,wood chips,149.86407053637032
S0,T0891,ARC,BP,municipal waste,47.008226950354604
S0,T0891,ARGO5,BP,municipal waste,11.05511811023622
S0,T0891,ARGO6,BP,municipal waste,16.072488335925346
S0,T0891,KKV7,BP,wood chips,8.46
S0,T0891,KKV8,BP,wood chips,14.010108303249098
S0,T0891,VF5,BP,municipal waste,10.204481546572937
S0,T0891,VF6,BP,municipal waste,20.143502454991815
S0,T0892,AMV1,BP,wood pellets,72.44532081377153
S0,T0892,AMV4,BP,wood chips,149.86407053637032
S0,T0892,ARC,BP,municipal waste,47.008226950354604
S0,T0892,ARGO5,BP,municipal waste,11.05511811023622
S0,T0892,ARGO6,BP,municipal waste,16.072488335925346
S0,T0892,KKV7,BP,wood chips,8.46
S0,T0892,KKV8,BP,wood chips,14.010108303249098
S0,T0892,VF5,BP,municipal waste,10.204481546572937
S0,T0892,VF6,BP,municipal waste,20.143502454991815
S0,T0893,AMV1,BP,wood pellets,72.44532081377153
S0,T0893,AMV4,BP,wood chips,149.86407053637032
S0,T0893,ARC,BP,municipal waste,47.008226950354604
S0,T0893,ARGO5,BP,municipal waste,11.05511811023622
S0,T0893,ARGO6,BP,municipal waste,16.072488335925346
S0,T0893,KKV7,BP,wood chips,8.46
S0,T0893,KKV8,BP,wood chips,14.010108303249098
S0,T0893,VF5,BP,municipal waste,10.204481546572937
S0,T0893,VF6,BP,municipal waste,20.143502454991815
S0,T0894,AVV1,EX,wood pellets,178.40065843621403
S0,T0894,AMV1,BP,wood pellets,72.44532081377153
S0,T0894,AMV4,BP,wood chips,149.86407053637032
S0,T0894,ARC,BP,municipal waste,47.008226950354604
S0,T0894,ARGO5,BP,municipal waste,11.05511811023622
S0,T0894,ARGO6,BP,municipal waste,16.072488335925346
