scenario,T,TECH,TYPE,F,value
S0,T3136,FC,CO,electricity,1.0
S0,T3137,FC,CO,electricity,1.0
S0,T3138,FC,CO,electricity,1.0
S0,T3139,FC,CO,electricity,1.0
S0,T3140,FC,CO,electricity,1.0
S0,T3141,FC,CO,electricity,1.0
S0,T3142,FC,CO,electricity,1.0
S0,T3143,FC,CO,electricity,1.0
S0,T3144,FC,CO,electricity,1.0
S0,T3145,FC,CO,electricity,1.0
S0,T3146,FC,CO,electricity,1.0
S0,T3147,FC,CO,electricity,1.0
S0,T3148,FC,CO,electricity,1.0
S0,T3149,FC,CO,electricity,1.0
S0,T3150,FC,CO,electricity,1.0
S0,T3151,FC,CO,electricity,1.0
S0,T3152,FC,CO,electricity,1.0
S0,T3153,FC,CO,electricity,1.0
S0,T3154,FC,CO,electricity,1.0
S0,T3155,FC,CO,electricity,1.0
S0,T3156,FC,CO,electricity,1.0
S0,T3157,FC,CO,electricity,1.0
S0,T3158,FC,CO,electricity,1.0
S0,T3159,FC,CO,electricity,1.0
S0,T3160,FC,CO,electricity,1.0
S0,T3161,FC,CO,electricity,1.0
S0,T3162,FC,CO,electricity,1.0
S0,T3163,FC,CO,electricity,1.0
S0,T3164,FC,CO,electricity,1.0
S0,T3165,FC,CO,electricity,1.0
S0,T3166,FC,CO,electricity,1.0
S0,T3167,FC,CO,electricity,1.0
S0,T3168,FC,CO,electricity,1.0
S0,T3169,FC,CO,electricity,1.0
S0,T3170,FC,CO,electricity,1.0
S0,T3171,FC,CO,electricity,1.0
S0,T3172,FC,CO,electricity,1.0
S0,T3173,FC,CO,electricity,1.0
S0,T3174,FC,CO,electricity,1.0
S0,T3175,FC,CO,electricity,1.0
S0,T3176,FC,CO,electricity,1.0
S0,T3177,FC,CO,electricity,1.0
S0,T3178,FC,CO,electricity,1.0
S0,T3179,FC,CO,electricity,1.0
S0,T3180,FC,CO,electricity,1.0
S0,T3181,FC,CO,electricity,1.0
S0,T3182,FC,CO,electricity,1.0
S0,T3183,FC,CO,electricity,1.0
S0,T3184,FC,CO,electricity,1.0
S0,T3185,FC,CO,electricity,1.0
S0,T3186,FC,CO,electricity,1.0
S0,T3187,FC,CO,electricity,1.0
S0,T3188,FC,CO,electricity,1.0
S0,T3189,FC,CO,electricity,1.0
S0,T3190,FC,CO,electricity,1.0
S0,T3191,FC,CO,electricity,1.0
S0,T3192,FC,CO,electricity,1.0
S0,T5209,EC,CO,electricity,1.0
S0,T5210,EC,CO,electricity,1.0
S0,T5211,EC,CO,electricity,1.0
S0,T5212,EC,CO,electricity,1.0
S0,T5213,EC,CO,electricity,1.0
S0,T5214,EC,CO,electricity,1.0
S0,T5215,EC,CO,electricity,1.0
S0,T5216,EC,CO,electricity,1.0
S0,T5217,EC,CO,electricity,1.0
S0,T5218,EC,CO,electricity,1.0
S0,T5219,EC,CO,electricity,1.0
S0,T5220,EC,CO,electricity,1.0
S0,T5221,EC,CO,electricity,1.0
S0,T5222,EC,CO,electricity,1.0
S0,T5223,EC,CO,electricity,1.0
S0,T5224,EC,CO,electricity,1.0
S0,T5225,EC,CO,electricity,1.0
S0,T5226,EC,CO,electricity,1.0
S0,T5227,EC,CO,electricity,1.0
S0,T5228,EC,CO,electricity,1.0
S0,T5229,EC,CO,electricity,1.0
S0,T5230,EC,CO,electricity,1.0
S0,T5231,EC,CO,electricity,1.0
S0,T5232,EC,CO,electricity,1.0
S0,T5233,EC,CO,electricity,1.0
S0,T5234,EC,CO,electricity,1.0
S0,T5235,EC,CO,electricity,1.0
S0,T5236,EC,CO,electricity,1.0
S0,T5237,EC,CO,electricity,1.0
S0,T5238,EC,CO,electricity,1.0
S0,T5239,EC,CO,electricity,1.0
S0,T5240,EC,CO,electricity,1.0
S0,T5241,EC,CO,electricity,1.0
S0,T5242,EC,CO,electricity,1.0
