scenario,T,value
S0,T3030,15.236016238083444
S0,T3031,15.280561786342805
S0,T3032,13.911364659390738
S0,T3033,13.172492439927375
S0,T3034,12.84552870238299
S0,T3035,12.009337467142512
S0,T3036,11.811422024468206
S0,T3037,11.842845663406232
S0,T3038,12.136612106304876
S0,T3039,12.414298161089413
S0,T3040,13.112842501275017
S0,T3041,15.358868831775341
S0,T3042,22.398766176947227
S0,T3043,22.96661989460862
S0,T3044,17.98555853884684
S0,T3045,15.493431201134603
S0,T3046,14.660951186569564
S0,T3047,13.96681749049064
S0,T3048,12.90740860589655
S0,T3049,13.041995489084893
S0,T3050,12.934283884579568
S0,T3051,12.99956461505407
S0,T3052,13.566223461339575
S0,T3053,15.036212423878311
S0,T3054,16.264864882938184
S0,T3055,15.327397046674468
S0,T3056,14.039791095257424
S0,T3057,12.94369112525097
S0,T3058,12.396672479582797
S0,T3059,12.014081910961911
S0,T3060,11.368402927905102
S0,T3061,11.05769174908086
S0,T3062,11.463100835388962
S0,T3063,12.484846344001777
S0,T3064,13.527790057555682
S0,T3065,14.91800299210862
S0,T3066,18.12394026768157
S0,T3067,19.962775912595223
S0,T3068,16.446968057253066
S0,T3069,16.062271821981117
S0,T3070,14.592596208263394
S0,T3071,13.423201665355876
S0,T3072,13.45433792251856
S0,T3073,13.287862931250807
S0,T3074,13.569156366101764
S0,T3075,13.885718280815706
S0,T3076,13.838660593551282
S0,T3077,13.568342046220353
S0,T3078,13.70466949235016
S0,T3079,13.794737507951922
S0,T3080,13.416764003472755
S0,T3081,12.893989881947917
S0,T3082,12.900775969090546
S0,T3083,12.752911767701123
S0,T3084,12.228334364363784
S0,T3085,12.023894492223558
S0,T3086,11.405255002636219
S0,T3087,11.785019221115386
S0,T3088,13.780568268891026
S0,T3089,16.018489006189903
S0,T3090,19.173338759483972
S0,T3091,18.02553811709856
S0,T3092,16.232596873508815
S0,T3093,15.384492109580128
S0,T3094,13.833693672947916
S0,T3095,12.909082464629808
S0,T3096,12.469107322103367
S0,T3097,12.23347097313622
S0,T3098,11.895290851328525
S0,T3099,11.343050985761218
S0,T3100,11.26847089502484
S0,T3101,11.064066133247596
S0,T3102,10.402194428137822
S0,T3103,10.942264130033655
S0,T3104,10.788652023550481
S0,T3105,10.38873960946234
S0,T3106,10.346317009810898
S0,T3107,10.047091099869391
S0,T3108,8.401605201807692
S0,T3109,8.213438141010416
S0,T3110,8.304698161446314
S0,T3111,8.164795399141827
S0,T3112,8.513245199328525
S0,T3113,9.92268232911859
S0,T3114,10.715104307886218
S0,T3115,10.830990426447116
S0,T3116,10.937510492203526
S0,T3117,10.849831138122596
S0,T3118,9.385858834133813
S0,T3119,8.101294670413463
S0,T3120,7.012289813762821
S0,T3121,6.411061273464743
